lon,lat
-67.845,38.349
-67.821,38.367
-67.797,38.366
-67.773,38.384
-67.749,38.402
-67.725,38.402
-67.701,38.42
-67.677,38.438
-67.653,38.437
-67.629,38.455
-67.605,38.473
-67.581,38.472
-67.557,38.49
-67.532,38.508
-67.509,38.508
-67.484,38.526
-67.46,38.544
-67.436,38.561
-67.412,38.561
-67.388,38.579
-67.363,38.597
-67.339,38.614
-67.315,38.614
-67.291,38.632
-67.266,38.65
-67.242,38.667
-67.217,38.685
-67.193,38.703
-67.169,38.702
-67.144,38.72
-67.12,38.738
-67.095,38.756
-67.071,38.774
-67.046,38.792
-67.022,38.809
-66.997,38.827
-66.972,38.845
-66.948,38.863
-66.923,38.88
-66.898,38.898
-66.874,38.916
-66.849,38.934
-66.824,38.952
-66.8,38.969
-66.799,38.988
-66.774,39.006
-66.749,39.023
-66.724,39.041
-66.7,39.059
-66.675,39.076
-66.65,39.094
-66.649,39.113
-66.624,39.13
-66.599,39.148
-66.574,39.166
-66.573,39.184
-66.548,39.202
-66.523,39.22
-66.499,39.237
-66.498,39.256
-66.473,39.274
-66.448,39.291
-66.447,39.31
-66.422,39.327
-66.397,39.345
-66.396,39.364
-66.371,39.381
-66.345,39.399
-66.344,39.417
-66.319,39.435
-66.294,39.453
-66.293,39.471
-66.268,39.489
-66.267,39.507
-66.242,39.525
-66.241,39.544
-66.216,39.561
-66.19,39.579
-66.189,39.597
-66.164,39.615
-66.163,39.633
-66.138,39.651
-66.137,39.67
-66.111,39.687
-66.11,39.706
-66.085,39.723
-66.084,39.742
-66.059,39.759
-66.057,39.778
-66.056,39.796
-66.031,39.814
-66.03,39.833
-66.004,39.85
-66.003,39.869
-65.978,39.886
-65.977,39.905
-65.975,39.923
-65.95,39.941
-65.949,39.959
-65.923,39.977
-65.922,39.995
-65.921,40.014
-65.896,40.032
-65.894,40.05
-65.869,40.068
-65.845,40.067
-65.821,40.066
-65.796,40.065
-65.772,40.064
-65.748,40.063
-65.724,40.062
-65.7,40.061
-65.675,40.06
-65.651,40.059
-65.627,40.058
-65.603,40.057
-65.579,40.056
-65.554,40.055
-65.53,40.054
-65.506,40.053
-65.48,40.07
-65.456,40.069
-65.432,40.068
-65.408,40.067
-65.384,40.066
-65.36,40.065
-65.335,40.064
-65.311,40.063
-65.287,40.062
-65.261,40.079
-65.237,40.078
-65.213,40.077
-65.189,40.076
-65.165,40.075
-65.14,40.073
-65.115,40.091
-65.091,40.09
-65.066,40.089
-65.042,40.087
-65.018,40.086
-64.994,40.085
-64.968,40.102
-64.967,40.121
-64.965,40.139
-64.964,40.158
-64.962,40.176
-64.96,40.195
-64.959,40.213
-64.957,40.232
-64.956,40.251
-64.954,40.269
-64.953,40.288
-64.951,40.306
-64.95,40.325
-64.948,40.343
-64.947,40.362
-64.945,40.38
-64.944,40.399
-64.942,40.417
-64.941,40.436
-64.939,40.454
-64.937,40.473
-64.936,40.491
-64.934,40.51
-64.933,40.528
-64.931,40.547
-64.93,40.565
-64.928,40.584
-64.927,40.602
-64.925,40.621
-64.924,40.639
-64.922,40.658
-64.92,40.676
-64.919,40.695
-64.917,40.713
-64.916,40.732
-64.914,40.75
-64.913,40.769
-64.911,40.788
-64.91,40.806
-64.908,40.825
-64.906,40.843
-64.905,40.862
-64.903,40.88
-64.902,40.899
-64.9,40.917
-64.899,40.936
-64.897,40.954
-64.896,40.973
-64.894,40.991
-64.892,41.01
-64.891,41.028
-64.889,41.047
-64.888,41.065
-64.886,41.084
-64.885,41.103
-64.883,41.121
-64.881,41.14
-64.88,41.158
-64.878,41.177
-64.877,41.195
-64.875,41.214
-64.873,41.232
-64.872,41.251
-64.87,41.269
-64.869,41.288
-64.867,41.306
-64.866,41.325
-64.864,41.344
-64.862,41.362
-64.861,41.381
-64.859,41.399
-64.858,41.418
-64.856,41.436
-64.854,41.455
-64.853,41.473
-64.851,41.492
-64.85,41.51
-64.848,41.529
-64.846,41.547
-64.845,41.566
-64.843,41.585
-64.842,41.603
-64.84,41.622
-64.838,41.64
