lon,lat
-74.782074,38.624264
-74.75903,38.624325
-74.73602,38.624367
-74.71301,38.62441
-74.68997,38.624454
-74.66693,38.62449
-74.64392,38.62452
-74.62091,38.624546
-74.59787,38.624573
-74.805176,38.6422
-74.782166,38.64226
-74.759125,38.64231
-74.736084,38.64236
-74.71304,38.6424
-74.69,38.642445
-74.66699,38.642483
-74.64395,38.6425
-74.62091,38.64253
-74.5979,38.642555
-74.80524,38.66019
-74.78223,38.660248
-74.759186,38.6603
-74.736145,38.660347
-74.713104,38.660397
-74.69006,38.66044
-74.66702,38.660473
-74.64398,38.6605
-74.62097,38.660515
-74.5979,38.660545
-74.80533,38.678173
-74.78229,38.678238
-74.75925,38.678288
-74.736206,38.678337
-74.713165,38.678383
-74.690125,38.678425
-74.66705,38.67845
-74.64404,38.678493
-74.62097,38.67851
-74.59793,38.678535
-74.82846,38.6961
-74.80542,38.696156
-74.78235,38.696217
-74.75931,38.69627
-74.73627,38.696327
-74.713196,38.696373
-74.690155,38.69641
-74.667114,38.69644
-74.64407,38.696472
-74.62103,38.6965
-74.59796,38.69651
-74.82855,38.714092
-74.80548,38.714153
-74.78244,38.71422
-74.75937,38.71427
-74.73633,38.71432
-74.71326,38.71435
-74.690216,38.714397
-74.667175,38.714436
-74.644104,38.71447
-74.62103,38.714493
-74.59799,38.71452
-74.82861,38.732082
-74.80557,38.732143
-74.7825,38.7322
-74.75946,38.732254
-74.73639,38.732307
-74.71332,38.73235
-74.69025,38.73239
-74.667206,38.732426
-74.644135,38.732452
-74.62109,38.73248
-74.75775,38.264545
-74.73483,38.264595
-74.711914,38.264637
-74.689026,38.26467
-74.66611,38.264706
-74.64319,38.264744
-74.6203,38.264774
-74.75781,38.282536
-74.73489,38.282585
-74.711975,38.28262
-74.68906,38.28266
-74.66614,38.282696
-74.64325,38.28273
-74.82666,38.300346
-74.80371,38.300407
-74.78079,38.30047
-74.75787,38.300526
-74.734955,38.30057
-74.712036,38.30061
-74.68912,38.300655
-74.6662,38.300686
-74.64328,38.300713
-74.84967,38.31827
-74.82672,38.318336
-74.8038,38.318398
-74.78088,38.318462
-74.757935,38.31851
-74.735016,38.318554
-74.7121,38.318604
-74.68915,38.318645
-74.66623,38.31868
-74.84973,38.336254
-74.82681,38.336327
-74.803894,38.33639
-74.780945,38.33644
-74.757996,38.336502
-74.73508,38.336548
-74.71216,38.336594
-74.68921,38.33663
-74.84982,38.354244
-74.826904,38.354317
-74.803955,38.354374
-74.781006,38.35443
-74.75806,38.354485
-74.73514,38.354538
-74.71219,38.35458
-74.68927,38.35462
-74.849915,38.37223
-74.826965,38.372307
-74.804016,38.372356
-74.78107,38.372425
-74.75815,38.372475
-74.7352,38.372524
-74.71225,38.37257
-74.850006,38.390224
-74.82706,38.390293
-74.80411,38.390354
-74.78116,38.39041
-74.75821,38.39046
-74.73526,38.39052
-74.71231,38.390553
-74.8501,38.408215
-74.82715,38.408283
-74.8042,38.408344
-74.78122,38.408405
-74.75827,38.40845
-74.73532,38.408504
-74.85019,38.426205
-74.82721,38.426273
-74.80426,38.42633
-74.78131,38.426384
-74.75833,38.426445
-74.85028,38.444187
-74.8273,38.44426
-74.80432,38.444317
-74.78137,38.444374
-74.85034,38.462173
-74.82739,38.46224
-74.80441,38.462307
-74.78143,38.462368
-74.29736,39.038185
-74.2742,39.038143
-74.25104,39.038097
-74.227875,39.038044
-74.320465,39.056206
-74.2973,39.05617
-74.27414,39.056137
-74.25098,39.056084
-74.22781,39.05603
-74.3436,39.074234
-74.320435,39.0742
-74.29724,39.07416
-74.27408,39.074127
-74.250916,39.074078
-74.22772,39.074024
-74.20456,39.073963
-74.36673,39.092255
-74.34357,39.09222
-74.32037,39.09219
-74.29721,39.09215
-74.27402,39.092106
-74.250854,39.09206
-74.22766,39.092014
-74.2045,39.091953
-74.181305,39.091896
-74.15814,39.09183
-74.3667,39.11024
-74.343506,39.110207
-74.32034,39.11018
-74.29715,39.110138
-74.27396,39.1101
-74.25079,39.11005
-74.2276,39.11
-74.20441,39.109947
-74.181244,39.109886
-74.15805,39.10982
-74.343475,39.128197
-74.32028,39.128178
-74.29709,39.12813
-74.273926,39.128086
-74.25073,39.12804
-74.22754,39.127987
-74.204346,39.127934
-74.18115,39.127872
-74.15796,39.12781
-74.134766,39.12774
-74.11157,39.127666
-74.32025,39.146156
-74.29706,39.14612
-74.273865,39.146084
-74.25067,39.14603
-74.22748,39.14598
-74.204285,39.14592
-74.18106,39.14586
-74.15787,39.1458
-74.134674,39.145725
-74.11148,39.145653
-74.297,39.164104
-74.2738,39.164066
-74.25061,39.164013
-74.22739,39.163967
-74.20419,39.16391
-74.181,39.16385
-74.157776,39.163784
-74.13458,39.163715
-74.27374,39.18205
-74.25052,39.182007
-74.227325,39.181957
-74.2041,39.181896
-74.18091,39.181843
-74.157715,39.18177
-74.25046,39.199997
-74.227264,39.19994
-74.20404,39.199886
-74.18082,39.199833
-74.22717,39.217934
-74.20398,39.21788
-73.210846,40.200573
-73.23407,40.218807
-73.21051,40.21855
-73.18695,40.218304
-73.25729,40.23704
-73.233734,40.23679
-73.210175,40.23654
-73.186615,40.236286
-73.32767,40.255733
-73.30408,40.255497
-73.28052,40.255264
-73.25696,40.255016
-73.2334,40.254772
-73.20984,40.254524
-73.18628,40.254265
-73.16272,40.254005
-73.13916,40.253742
-73.37451,40.274174
-73.35092,40.273945
-73.32736,40.273724
-73.30377,40.27348
-73.28021,40.27325
-73.25665,40.273003
-73.23309,40.27276
-73.20953,40.27251
-73.18594,40.27225
-73.162384,40.271996
-73.138824,40.27173
-73.115234,40.271454
-73.397766,40.292374
-73.37421,40.29215
-73.35065,40.29193
-73.32706,40.2917
-73.30347,40.291466
-73.27991,40.291233
-73.25635,40.290985
-73.23276,40.290737
-73.20917,40.290485
-73.18561,40.290226
-73.16205,40.28997
-73.13846,40.289703
-73.1149,40.289433
-73.46823,40.310978
-73.44464,40.310772
-73.42108,40.310566
-73.39749,40.310352
-73.3739,40.31013
-73.35034,40.309906
-73.32675,40.309685
-73.30316,40.309444
-73.2796,40.309208
-73.25601,40.308968
-73.23242,40.308716
-73.20886,40.308464
-73.18527,40.308212
-73.16168,40.307953
-73.13812,40.30769
-73.51514,40.329365
-73.49155,40.329163
-73.46796,40.32896
-73.4444,40.32876
-73.42081,40.328545
-73.39722,40.32833
-73.37363,40.328106
-73.35004,40.327885
-73.32645,40.32766
-73.53848,40.34753
-73.51489,40.347343
-73.4913,40.347145
-73.46771,40.34694
-73.44409,40.346737
-73.42053,40.34653
-73.39691,40.34631
-73.37332,40.346096
-73.58545,40.365883
-73.56183,40.3657
-73.53824,40.36551
-73.51465,40.365322
-73.49103,40.365124
-74.66669,38.516552
-74.64371,38.516586
-74.62073,38.516613
-74.68973,38.534508
-74.66675,38.534542
-74.64374,38.53458
-74.62073,38.5346
-74.68979,38.552498
-74.66678,38.55254
-74.64377,38.55256
-74.62079,38.55258
-74.71283,38.57045
-74.68982,38.57048
-74.66681,38.570526
-74.6438,38.570553
-74.62079,38.570568
-74.7359,38.588394
-74.71289,38.58844
-74.68988,38.58847
-74.66687,38.58851
-74.64386,38.588547
-74.62085,38.588566
-74.75897,38.606335
-74.73596,38.606384
-74.71295,38.60642
-74.68994,38.60646
-74.6669,38.606495
-74.64389,38.60653
-74.62085,38.606564
-74.43643,38.912415
-74.4133,38.912407
-74.4364,38.930405
-74.41327,38.930393
-74.4364,38.948395
-74.41327,38.94838
-74.39014,38.94836
-74.367004,38.948338
-74.34387,38.948303
-74.43637,38.966385
-74.41324,38.966373
-74.39011,38.966354
-74.366974,38.96632
-74.34384,38.966297
-74.43637,38.984375
-74.41321,38.984364
-74.390076,38.984337
-74.36694,38.984314
-74.34381,38.98429
-74.32065,38.984253
-74.297516,38.984215
-74.43634,39.00236
-74.41321,39.002346
-74.390045,39.002323
-74.36691,39.002308
-74.34375,39.002277
-74.32062,39.002243
-74.297455,39.0022
-74.43634,39.02035
-74.41318,39.02034
-74.390015,39.020317
-74.36688,39.020298
-74.34372,39.020264
-74.32056,39.020237
-74.297424,39.020195
-74.27426,39.020153
-74.482635,39.03836
-74.45947,39.038345
-74.43631,39.03834
-74.41315,39.038326
-74.390015,39.03831
-74.36682,39.03829
-74.34369,39.038254
-74.320526,39.038223
-74.482635,39.056343
-74.45947,39.05634
-74.43631,39.05633
-74.41315,39.05632
-74.38995,39.0563
-74.36682,39.05627
-74.34363,39.056244
-74.482635,39.07433
-74.45947,39.07433
-74.43628,39.07433
-74.41312,39.07431
-74.38995,39.07428
-74.36676,39.07426
-74.482605,39.09232
-74.45944,39.09232
-74.43628,39.092308
-74.413086,39.092293
-74.38992,39.092274
-74.482605,39.110317
-74.45944,39.110313
-74.36667,39.128235
-74.412994,39.164253
-74.3898,39.164227
-74.32019,39.164143
-74.38977,39.182213
-74.36658,39.182198
-74.34335,39.182163
-74.32016,39.18214
-74.296936,39.182095
-74.366516,39.200188
-74.34332,39.200157
-74.3201,39.200127
-74.27368,39.200047
-74.32007,39.21811
-74.27362,39.218037
-74.2504,39.217987
-74.32001,39.2361
-74.27356,39.236023
-74.250336,39.235977
-74.31998,39.25409
-74.29675,39.25405
-74.2735,39.25401
-74.29669,39.272038
-74.08829,39.145573
-74.11139,39.16364
-74.088196,39.16356
-74.13449,39.1817
-74.1113,39.181633
-74.08807,39.18155
-74.06488,39.181465
-74.04169,39.181377
-74.15762,39.199764
-74.1344,39.199696
-74.111206,39.199615
-74.08798,39.19954
-74.06476,39.19946
-74.041565,39.199368
-74.01834,39.19928
-74.180756,39.217815
-74.15753,39.21776
-74.13431,39.217678
-74.111084,39.217613
-74.08789,39.21753
-74.06464,39.217445
-74.04144,39.217354
-74.01822,39.217262
-74.180664,39.235806
-74.15744,39.23574
-74.13422,39.235672
-74.11099,39.2356
-74.08777,39.23552
-74.064545,39.23544
-74.04132,39.235348
-74.0181,39.23525
-73.99487,39.235157
-74.2038,39.25385
-74.1806,39.253796
-74.15735,39.253727
-74.134125,39.253662
-74.1109,39.253582
-74.08765,39.25351
-74.06442,39.25342
-74.0412,39.25333
-74.017975,39.253242
-73.99475,39.253147
-73.9715,39.253036
-74.203735,39.271843
-74.18051,39.27178
-74.15726,39.27171
-74.13403,39.271652
-74.11078,39.271572
-74.087555,39.271496
-74.06433,39.271408
-74.04108,39.27132
-74.01785,39.271236
-73.99463,39.271137
-73.971375,39.271027
-73.94815,39.270924
-74.2269,39.289886
-74.203674,39.28983
-74.18042,39.28977
-74.157166,39.289703
-74.13394,39.28964
-74.11069,39.28956
-74.08746,39.28948
-74.06421,39.289394
-74.040955,39.28931
-74.01773,39.28922
-73.99448,39.28912
-73.97125,39.28902
-73.948,39.28891
-74.18036,39.30776
-74.157104,39.3077
-74.13385,39.30762
-74.110596,39.307552
-74.08734,39.307472
-74.06409,39.307396
-74.04086,39.307304
-74.01761,39.307205
-73.994354,39.30711
-73.9711,39.30701
-73.947876,39.3069
-74.18027,39.32575
-74.15701,39.325684
-74.13376,39.325615
-74.110504,39.325535
-74.08725,39.32546
-74.063995,39.32538
-74.04074,39.32529
-74.01749,39.325195
-74.180176,39.343746
-74.15692,39.34367
-74.13367,39.3436
-74.11041,39.34353
-74.08713,39.343445
-74.06387,39.34336
-74.04062,39.343273
-74.180115,39.361725
-74.15683,39.361652
-74.133575,39.36159
-74.11029,39.36151
-74.087036,39.361435
-74.06378,39.361347
-74.0405,39.361267
-73.99423,39.3251
-73.97098,39.32499
-73.94772,39.324886
-74.017365,39.34318
-73.99411,39.343094
-73.970825,39.34298
-73.94757,39.342876
-74.01724,39.36117
-73.99396,39.361076
-73.9707,39.360973
-73.94745,39.36087
-74.086914,39.37943
-74.06366,39.37934
-74.040375,39.37925
-74.01712,39.379158
-73.993835,39.379063
-73.97058,39.37896
-73.947296,39.378853
-74.08682,39.397415
-74.06354,39.397335
-74.04028,39.397243
-74.017,39.39715
-73.99371,39.397053
-73.97043,39.39695
-73.94714,39.396843
-74.08673,39.415405
-74.063416,39.415314
-74.04016,39.415237
-74.01688,39.41513
-73.99359,39.41504
-73.97031,39.414936
-73.94702,39.414833
-74.08661,39.43339
-74.063324,39.433304
-74.04004,39.43322
-74.016754,39.43312
-73.99347,39.433025
-73.97015,39.432922
-74.13309,39.451534
-74.1098,39.451454
-74.08652,39.451374
-74.0632,39.451286
-74.03992,39.4512
-74.01663,39.45111
-73.99332,39.451015
-73.97003,39.450912
-74.039795,39.46919
-74.01648,39.4691
-73.993195,39.469006
-73.96991,39.468895
-73.946594,39.468792
-74.03967,39.487186
-74.01636,39.48709
-73.99307,39.48699
-73.96976,39.486893
-73.94647,39.486782
-73.99292,39.50498
-73.969635,39.504875
-73.94632,39.504772
-73.9928,39.522964
-73.96948,39.52286
-73.94617,39.52276
-73.992676,39.540955
-73.96936,39.540848
-73.946045,39.540745
-74.039215,39.559128
-74.01587,39.55904
-73.99255,39.558945
-73.96924,39.558834
-73.94589,39.558735
-74.03909,39.577118
-74.01575,39.57702
-73.99243,39.576927
-73.969086,39.576828
-73.94574,39.576714
-74.015625,39.595013
-73.99231,39.594913
-73.96893,39.59481
-73.94562,39.594707
-74.0155,39.613003
-73.99216,39.612904
-73.96881,39.612797
-73.945465,39.612694
-73.94531,39.63068
-73.94519,39.648666
-73.94504,39.666653
-73.08127,39.623497
-73.05792,39.623215
-73.151,39.642296
-73.127625,39.642033
-73.10428,39.641754
-73.08093,39.64149
-73.057556,39.641197
-73.03421,39.64092
-73.17401,39.66055
-73.150635,39.66028
-73.12729,39.66001
-73.10391,39.659748
-73.08057,39.65947
-73.05719,39.65919
-73.03381,39.6589
-73.243774,39.679302
-73.2204,39.679047
-73.19702,39.678795
-73.173645,39.678535
-73.1503,39.67827
-73.12692,39.678005
-73.10358,39.67773
-73.0802,39.677452
-73.05682,39.67717
-73.03345,39.67689
-73.29019,39.69777
-73.266815,39.69753
-73.24344,39.69728
-73.22006,39.69703
-73.19672,39.696774
-73.17334,39.696514
-73.14996,39.69626
-73.12659,39.696
-73.10321,39.695717
-73.079834,39.69544
-73.05646,39.695156
-73.28989,39.71575
-73.26651,39.715508
-73.24313,39.715267
-73.21976,39.71502
-73.19635,39.714764
-73.17297,39.714504
-73.1496,39.714237
-73.12622,39.713974
-73.102844,39.7137
-73.07947,39.713417
-73.05609,39.71314
-73.28958,39.733738
-73.266174,39.733498
-73.2428,39.733253
-73.21942,39.732998
-73.196045,39.732746
-73.17264,39.732487
-73.14926,39.732227
-73.125854,39.73196
-73.10248,39.73169
-73.289276,39.751724
-73.26587,39.751484
-73.24249,39.751232
-73.219086,39.750988
-73.19571,39.750736
-73.1723,39.750473
-73.148926,39.75021
-73.12552,39.749943
-73.28897,39.76971
-73.265564,39.769466
-73.24216,39.769222
-73.21875,39.768967
-73.19537,39.76872
-73.17197,39.768456
-73.14856,39.768192
-73.12518,39.767925
-73.26526,39.78745
-73.24182,39.78721
-73.218445,39.786957
-73.19504,39.7867
-73.17163,39.78644
-73.26492,39.80544
-73.241516,39.80519
-73.21811,39.804947
-73.1947,39.804688
-73.26462,39.823418
-73.24121,39.82318
-73.21777,39.822926
-73.19437,39.822678
-73.3414,39.42844
-73.318115,39.42821
-73.29483,39.42798
-73.271545,39.42773
-73.36438,39.446655
-73.341095,39.446426
-73.31781,39.446194
-73.294495,39.44596
-73.27124,39.44572
-73.457275,39.465492
-73.43399,39.46529
-73.410706,39.465076
-73.38739,39.46486
-73.364105,39.46463
-73.34082,39.464417
-73.317505,39.46418
-73.29419,39.463943
-73.270905,39.463707
-73.24762,39.463467
-73.48035,39.483692
-73.45703,39.483482
