date,direction,control_power,wf_power,upwelling,seabreeze,power_diff
2022-06-01,21.292991794109692,38.132213511997584,21.5575474453125,upwelling absent,seabreeze absent,16.574666066685083
2022-06-02,136.30598715244247,8.262383465648298,4.418694142540216,upwelling absent,seabreeze present,3.843689323108082
2022-06-03,300.97530836269067,6.605193048283062,2.9234554987792967,upwelling absent,seabreeze absent,3.681737549503765
2022-06-04,332.2223070795697,15.91642999641222,6.4240215856628415,upwelling absent,seabreeze present,9.492408410749377
2022-06-05,73.65387083939859,46.866230463203145,29.7596386875,upwelling absent,seabreeze present,17.106591775703144
2022-06-06,92.88200765495422,3.0332358822787855,1.5967973801659048,upwelling absent,seabreeze present,1.4364385021128807
2022-06-07,172.51096213122582,56.76993270123339,41.49523703125,upwelling absent,seabreeze absent,15.274695669983387
2022-06-08,205.89464915353102,57.57945842191477,48.1368581875,upwelling absent,seabreeze present,9.442600234414769
2022-06-09,216.21382189499136,67.82756132028169,52.38934775,upwelling present,seabreeze absent,15.43821357028169
2022-06-10,288.7634219003281,31.45589442622494,19.785196710344316,upwelling present,seabreeze present,11.670697715880625
2022-06-11,264.2179554951609,25.57182654609214,10.578853962005615,upwelling present,seabreeze present,14.992972584086525
2022-06-12,183.83887549329265,40.25833511389016,24.067583026672363,upwelling present,seabreeze absent,16.1907520872178
2022-06-13,222.4082570570593,29.755238532412765,15.965598622070312,upwelling present,seabreeze present,13.789639910342453
2022-06-14,39.34762697817626,19.910849924168556,10.10222599609375,upwelling present,seabreeze present,9.808623928074805
2022-06-15,59.12491100300091,13.42780352382875,6.710677601867676,upwelling present,seabreeze present,6.717125921961074
2022-06-16,158.21248019818103,40.24999363980341,28.08905284375,upwelling present,seabreeze present,12.160940796053406
2022-06-17,235.17296537046437,66.93486250349397,59.2719428125,upwelling present,seabreeze present,7.662919690993974
2022-06-18,321.49726400705975,62.35516935365267,50.834255625,upwelling present,seabreeze absent,11.520913728652673
2022-06-19,332.01051998888056,65.37279550214882,57.565704,upwelling present,seabreeze absent,7.807091502148822
2022-06-20,314.40519513898494,29.592523017423623,21.095967885375977,upwelling present,seabreeze present,8.496555132047646
