lon,lat,row,col,midpoint
-73.94799805,39.28890991,17,19,
-74.18035889,39.30775833,18,9,
-74.15710449,39.30770111,18,10,
-74.1338501,39.307621,18,11,
-74.1105957,39.30755234,18,12,
-74.08734131,39.30747223,18,13,
-74.06408691,39.30739594,18,14,
-74.04086304,39.30730438,18,15,
-74.01760864,39.3072052,18,16,
-73.99435425,39.30710983,18,17,
-73.97109985,39.30701065,18,18,
-73.94787598,39.30690002,18,19,
-74.18026733,39.32574844,19,9,
-74.15701294,39.32568359,19,10,
-74.13375854,39.32561493,19,11,
-74.11050415,39.32553482,19,12,
-74.08724976,39.32545853,19,13,
-74.06399536,39.32537842,19,14,
-74.04074097,39.32529068,19,15,
-74.01748657,39.32519531,19,16,
-73.99423218,39.32509995,19,17,
-73.97097778,39.32498932,19,18,
-73.94772339,39.32488632,19,19,
-74.18017578,39.34374619,20,9,
-74.15692139,39.34366989,20,10,
-74.13366699,39.34360123,20,11,
-74.1104126,39.34352875,20,12,
-74.08712769,39.34344482,20,13,
-74.06387329,39.3433609,20,14,
-74.0406189,39.34327316,20,15,
-74.0173645,39.34318161,20,16,
-73.99411011,39.34309387,20,17,
-73.9708252,39.34297943,20,18,
-73.9475708,39.34287643,20,19,
-74.18011475,39.36172485,21,9,
-74.15682983,39.36165237,21,10,
-74.13357544,39.36159134,21,11,
-74.11029053,39.36151123,21,12,
-74.08703613,39.36143494,21,13,
-74.06378174,39.3613472,21,14,
-74.04049683,39.36126709,21,15,
-74.01724243,39.36117172,21,16,
-73.99395752,39.36107635,21,17,
-73.97070313,39.36097336,21,18,
-73.94744873,39.36087036,21,19,
