time_stamp(utc),12m_air_temp(f),2m_air_temp(f)
2016-06-09 00:00:00+00:00,63.31631944444444,63.73993055555555
2016-06-10 00:00:00+00:00,66.12118055555555,66.06215277777778
2016-06-11 00:00:00+00:00,69.53402777777778,69.39236111111111
2016-06-12 00:00:00+00:00,80.21840277777778,79.39409722222223
2016-06-13 00:00:00+00:00,67.69305555555555,68.31909722222223
2016-06-14 00:00:00+00:00,67.48506944444445,68.34166666666667
2016-06-15 00:00:00+00:00,69.06354166666667,69.51944444444445
2016-06-16 00:00:00+00:00,64.70034722222222,64.85972222222222
2016-06-17 00:00:00+00:00,65.28501742160279,66.13867595818814
2016-06-18 00:00:00+00:00,65.79097222222222,66.18541666666667
2016-06-19 00:00:00+00:00,70.92361111111111,71.29756944444445
2016-06-20 00:00:00+00:00,70.42881944444444,71.36979166666667
2016-06-21 00:00:00+00:00,75.39340277777778,75.22638888888889
2016-06-22 00:00:00+00:00,74.20416666666667,74.48750000000001
2016-06-23 00:00:00+00:00,73.30416666666666,73.29270833333334
2016-06-24 00:00:00+00:00,70.26666666666667,70.15173611111112
2016-06-25 00:00:00+00:00,68.22881944444445,69.53298611111111
2016-06-26 00:00:00+00:00,68.4,68.96562499999999
2016-06-27 00:00:00+00:00,70.26666666666667,70.59270833333333
2016-06-28 00:00:00+00:00,71.06458333333333,71.18506944444444
2016-06-29 00:00:00+00:00,72.009375,73.15868055555556
2016-06-30 00:00:00+00:00,72.70972222222223,73.63888888888889
2016-07-01 00:00:00+00:00,72.98541666666667,73.271875
2016-07-02 00:00:00+00:00,72.49375,72.72083333333333
2016-07-03 00:00:00+00:00,70.14791666666666,70.48124999999999
2016-07-04 00:00:00+00:00,69.76493055555555,70.47118055555556
2016-07-05 00:00:00+00:00,75.34201388888889,75.45763888888888
2016-07-06 00:00:00+00:00,79.11284722222223,78.99097222222223
2016-07-07 00:00:00+00:00,78.92638888888888,79.2954861111111
2016-07-08 00:00:00+00:00,78.703125,79.15833333333333
2016-07-09 00:00:00+00:00,71.45972222222223,71.81458333333333
2016-07-10 00:00:00+00:00,74.90451388888889,75.265625
2016-07-11 00:00:00+00:00,70.80590277777777,71.82465277777777
2016-07-12 00:00:00+00:00,73.20833333333333,73.42638888888888
2016-07-13 00:00:00+00:00,74.33645833333334,74.66458333333334
2016-07-14 00:00:00+00:00,79.34652777777778,80.20069444444444
2016-07-15 00:00:00+00:00,83.69861111111112,84.17013888888889
2016-07-16 00:00:00+00:00,80.94930555555555,81.70416666666667
2016-07-17 00:00:00+00:00,77.18125,78.31319444444445
2016-07-18 00:00:00+00:00,80.42743055555555,81.05243055555555
2016-07-19 00:00:00+00:00,77.65349650349651,78.17132867132867
2016-07-20 00:00:00+00:00,74.66284722222223,75.10520833333334
2016-07-21 00:00:00+00:00,73.6455497382199,73.49790575916231
2016-07-22 00:00:00+00:00,,
2016-07-23 00:00:00+00:00,,
2016-07-24 00:00:00+00:00,,
2016-07-25 00:00:00+00:00,,
2016-07-26 00:00:00+00:00,,
2016-07-27 00:00:00+00:00,,
2016-07-28 00:00:00+00:00,,
2016-07-29 00:00:00+00:00,76.02680412371134,77.03711340206186
2016-07-30 00:00:00+00:00,75.82291666666667,76.15798611111111
2016-07-31 00:00:00+00:00,77.08784722222222,77.85590277777777
2016-08-01 00:00:00+00:00,75.94999999999999,76.41631944444445
2016-08-02 00:00:00+00:00,74.21562499999999,74.67777777777778
2016-08-03 00:00:00+00:00,72.3111111111111,73.25034722222222
2016-08-04 00:00:00+00:00,73.62222222222222,74.20868055555555
2016-08-05 00:00:00+00:00,73.49826388888889,73.98020833333334
2016-08-06 00:00:00+00:00,78.92867132867133,79.69895104895106
2016-08-07 00:00:00+00:00,78.77762237762238,79.80034965034966
2016-08-08 00:00:00+00:00,76.875,76.82638888888889
2016-08-09 00:00:00+00:00,77.5479020979021,77.75734265734265
2016-08-10 00:00:00+00:00,80.51215277777777,81.00694444444444
2016-08-11 00:00:00+00:00,82.46805555555555,83.57361111111112
2016-08-12 00:00:00+00:00,82.77013888888888,83.92708333333333
2016-08-13 00:00:00+00:00,82.75277777777778,83.86250000000001
2016-08-14 00:00:00+00:00,84.82465277777777,85.77708333333334
2016-08-15 00:00:00+00:00,80.46944444444445,81.771875
2016-08-16 00:00:00+00:00,79.84652777777778,80.47222222222223
2016-08-17 00:00:00+00:00,82.75902777777777,83.41805555555555
2016-08-18 00:00:00+00:00,77.30243055555555,77.71493055555555
2016-08-19 00:00:00+00:00,77.47291666666666,78.26979166666666
2016-08-20 00:00:00+00:00,77.79027777777777,78.47638888888889
2016-08-21 00:00:00+00:00,78.7465034965035,78.77342657342658
2016-08-22 00:00:00+00:00,74.70555555555556,75.43368055555555
2016-08-23 00:00:00+00:00,69.80833333333334,70.12430555555555
2016-08-24 00:00:00+00:00,72.94166666666666,73.48715277777778
2016-08-25 00:00:00+00:00,74.72638888888889,75.14583333333333
2016-08-26 00:00:00+00:00,80.73993055555555,81.709375
2016-08-27 00:00:00+00:00,78.03958333333334,78.53784722222223
2016-08-28 00:00:00+00:00,76.26631944444445,77.25972222222222
2016-08-29 00:00:00+00:00,77.46770833333333,78.33611111111111
2016-08-30 00:00:00+00:00,77.04583333333333,77.696875
2016-08-31 00:00:00+00:00,77.06290909090909,77.71345454545455
2016-09-01 00:00:00+00:00,75.17395833333333,75.34062499999999
2016-09-02 00:00:00+00:00,70.290625,70.91006944444445
2016-09-03 00:00:00+00:00,72.76041666666667,72.22847222222222
2016-09-04 00:00:00+00:00,69.00694444444444,69.415625
